auditory_attention,visual_attention,interest,stress,engagement,class
0.62424525,0.6150875,0.58262125,0.544143,0.671371,funny
0.61229175,0.60184225,0.5762295,0.53639675,0.672851,funny
0.59154525,0.5781395,0.57522925,0.54071325,0.6753,funny
0.56934375,0.558872,0.57966775,0.53655975,0.684404,funny
0.559657,0.555951,0.57915,0.49791125,0.67203075,funny
0.5654505,0.56425525,0.57552325,0.45995475,0.65285425,funny
0.568963,0.57138625,0.5797815,0.436141,0.6357165,funny
0.564566,0.57717325,0.58441925,0.428954,0.63778075,funny
0.55668475,0.57461875,0.58018425,0.409801,0.633609,funny
0.5478515,0.56030425,0.5720395,0.38079375,0.624507,funny
0.54642675,0.54302125,0.56550925,0.3909395,0.603299,boring
0.550144,0.524681,0.565781,0.460545,0.58988175,boring
0.56398625,0.5196925,0.58937625,0.6002925,0.6068675,boring
0.57073825,0.52682375,0.62979825,0.61842175,0.628605,boring
0.58067225,0.54973425,0.63086725,0.56503425,0.6397815,boring
0.59075925,0.57276,0.6049815,0.53057725,0.64875875,boring
0.596677,0.5899435,0.58941,0.53640325,0.658906,boring
0.5939125,0.6015825,0.58356575,0.54998825,0.645333,boring
0.59303225,0.610769,0.5814945,0.53191375,0.61053425,boring
0.5934645,0.61082925,0.5776075,0.5220155,0.60516425,boring
0.59037475,0.60480375,0.5703265,0.5611405,0.61980725,boring
0.58070575,0.60131975,0.57259875,0.604836,0.62211975,boring
0.57563475,0.60332375,0.57802625,0.58581525,0.60913325,boring
0.56126875,0.59737525,0.58344725,0.557787,0.5927075,boring
0.5370615,0.580216,0.597284,0.597743,0.55463275,boring
0.525019,0.57128575,0.598596,0.6036925,0.52212075,boring
0.5417145,0.57593425,0.58268,0.5385795,0.53684025,boring
0.568477,0.58212775,0.57030625,0.48311525,0.5583315,boring
0.5873505,0.580136,0.564623,0.46217275,0.57592975,boring
0.588388,0.56992675,0.56031425,0.41487775,0.5914535,boring
0.58148825,0.55618025,0.5622525,0.36045275,0.60547325,boring
0.570262,0.5373175,0.5671825,0.34639475,0.61873225,boring
0.5550075,0.51092075,0.56537775,0.37509025,0.635468,boring
0.54794625,0.49278875,0.55763825,0.3980475,0.66736325,boring
0.5476105,0.48620625,0.5563985,0.3881335,0.6857265,boring
0.55115975,0.49426925,0.5577,0.41101775,0.68353925,boring
0.556046,0.5051615,0.55647625,0.47595575,0.67774325,boring
0.565457,0.5394355,0.56745075,0.50003625,0.669331,boring
0.58153625,0.55698025,0.568779,0.4964495,0.6655655,boring
0.59165625,0.576126,0.566708,0.48531,0.67045575,boring
0.5936445,0.59181325,0.5648735,0.48478475,0.67692575,boring
0.590153,0.5910585,0.57267675,0.485089,0.67096075,boring
0.578701,0.56593975,0.59058575,0.48993875,0.6496135,boring
0.57070125,0.5378575,0.59242325,0.504426,0.6350045,boring
0.56294,0.527212,0.57750725,0.556839,0.648787,boring
0.56501725,0.5334325,0.57020825,0.57825375,0.66569225,boring
0.56242375,0.53907075,0.56676475,0.5511915,0.66385225,boring
0.57585875,0.55676875,0.56387075,0.56591075,0.66674775,boring
0.59262125,0.581661,0.5645785,0.580841,0.677189,boring
0.6091145,0.601197,0.5705805,0.54970625,0.69003775,boring
0.622953,0.613182,0.590935,0.51340325,0.6795775,boring
0.631327,0.61675125,0.5957675,0.51595125,0.6672505,boring
0.6262115,0.6121835,0.5830855,0.528123,0.65529075,boring
0.61054675,0.59577675,0.57385025,0.5384545,0.64527225,boring
0.5901145,0.5803265,0.5695685,0.533254,0.620993,boring
0.56609225,0.56703425,0.5713325,0.51782175,0.59456425,boring
0.54799275,0.556978,0.56992425,0.50861525,0.60138,boring
0.5432115,0.556078,0.5701175,0.512613,0.6229825,boring
0.5480885,0.55962725,0.572893,0.52434025,0.62118175,boring
0.5518985,0.573048,0.5736075,0.5255155,0.60058475,boring
0.5547775,0.585227,0.57183025,0.502768,0.586452,boring
0.55282325,0.58397625,0.56786325,0.49852075,0.603966,boring
0.54897725,0.57374025,0.56628225,0.4635025,0.62304725,boring
0.5400325,0.56142975,0.5675565,0.39514875,0.63988125,boring
0.533354,0.5425925,0.564482,0.362793,0.656114,boring
0.53006525,0.53068075,0.56437975,0.38312325,0.66723825,boring
0.53249025,0.52418125,0.5724415,0.3638605,0.66697625,boring
0.54588125,0.5235385,0.5713335,0.356686,0.66392725,boring
0.55912375,0.520404,0.56853,0.40045825,0.67143275,boring
0.56109575,0.520777,0.57197775,0.45674225,0.67904875,boring
0.556489,0.52286625,0.5741395,0.513457,0.67070975,boring
0.5499145,0.519633,0.57274725,0.52937775,0.652418,boring
0.533242,0.5081665,0.5712025,0.543049,0.65337075,boring
0.50778925,0.4778355,0.56619375,0.57399925,0.6804625,boring
0.488276,0.45461925,0.56206875,0.54692625,0.6969605,boring
0.48421425,0.4455735,0.56325475,0.5005755,0.687663,boring
0.49626225,0.4550445,0.56891975,0.4681075,0.66086225,boring
0.51707825,0.464077,0.57510775,0.4697375,0.628122,boring
0.539068,0.4762765,0.574194,0.4872855,0.60871375,boring
0.54429825,0.47770425,0.5698195,0.473934,0.5964385,boring
0.5136665,0.46716675,0.5677845,0.45491925,0.58002225,boring
0.4822915,0.47308175,0.5724605,0.45527725,0.567332,boring
0.4776445,0.491259,0.57804525,0.46548525,0.58162525,boring
0.470981,0.4976375,0.584656,0.48963525,0.5856515,boring
0.4722545,0.4923295,0.585282,0.49349825,0.58544,boring
0.48849175,0.48533225,0.57261275,0.45573675,0.5986375,boring
0.50814575,0.48500625,0.5672745,0.4461275,0.62131925,boring
0.513649,0.4886855,0.5685745,0.447576,0.6238805,boring
0.5119975,0.49743625,0.572388,0.4677405,0.60908875,boring
0.5076785,0.506382,0.57507675,0.47269025,0.58354325,boring
0.5026045,0.504868,0.571497,0.476747,0.570177,boring
0.49586775,0.49255825,0.57296675,0.4984695,0.577357,boring
0.4883985,0.47174275,0.579825,0.48197625,0.604406,boring
0.47896525,0.4544955,0.57637175,0.492801,0.6259685,boring
0.48026625,0.45921025,0.578678,0.50276875,0.63553575,boring
0.4949665,0.47691925,0.58338925,0.5274745,0.623772,boring
0.51804175,0.496137,0.578043,0.54261375,0.60679125,boring
0.5329565,0.50185875,0.5730545,0.52692675,0.584983,boring
